name,description,vertical,subvertical,url
ARV,"The term ""ARV"" in real estate stands for ""After Repair Value."" It refers to the value of a property after the home's repairs are complete and the house is ready to sell. It takes into account the total cost of the repairs and the estimated value of the home. This is a useful term for buyers who want to invest and then flip homes/properties.",Professional Services,,
Under contract,This term means a seller has accepted the buyer's offer but any contingencies have yet to be met. #UnderContract,Professional Services,,
Refinancing,"Refinancing is when you restructure your home loan, replacing your old loan with an entirely new loan that has different rates and payment structures. The main reason people refinance their home loans is to get a lower interest rate on their mortgage, and therefore lower not only the monthly payment but also the overall debt owed.",Professional Services,,
MLS,A MLS is a local or regional real estate service that compiles available properties for sale submitted by real estate brokers and agents. An MLS can only be accessed by real estate brokers and agents.Having access to the MLS is a huge advantage of working with a real estate professional.,Professional Services,,
Concierge services,"If a Realtor offers concierge services, that essentially means they act as real estate consultants in addition to providing basic agent services. It also means they're committed to forming relationships with their clients that last beyond the transaction. They can share connections and coordinate appointments with other professionals (like repairmen, contractors, cleaners, etc), arrange inspections, inform buyers on the specifics of the property (HOA fees, property taxes, etc), assist in finding refinishing and remodeling professionals, and more. They may also anticipate and alleviate the stress of moving and act as an "" enthusiastic welcome wagon"" by acclimating their clients to their new neighborhoods, linking clients to  local social activities. and relaying information about local things that suit the new residents' interests. ",Professional Services,,
As-is,"If a home is marked ""as-is,"" that indicates that the property owner or seller is unwilling to perform most or all repairs. It could also mean that it's priced typically lower than market pricing in the area. One thing to note -- ""as is"" refers to the time that the offer is written. If something happens to the property after the offer but before closing, then it ought to be brought back to the same condition as it was when the offer was composed. ",Professional Services,,
Backup offer,"When a buyer is interested in purchasing a property that's already under contract with someone else, then the buyer can submit a ""backup offer"" in case the 3 original one falls through. Legally, there can only be one backup offer. This could be a good thing to mention to ease the mind of potential buyers who may feel they've missed out on a home they've fallen in love with. ",Professional Services,,
Buyer’s agent/listing agent,"A buyer's agent represents the buyer -- it's their job to locate the buyer's next property and negotiate to represent their interests. Alternatively, a listing agent represents the seller -- it's their job to market their clients' properties and negotiate on behalf of their interests. It's helpful to understand which (or both) ""side"" your customer is on so that you can appeal to the correct audience(s).",Professional Services,,
Closing costs,"""Closing costs"" refer to an assortment of fees that are paid out at the end of a real estate transaction. They can include, but aren't limited to, fees charged by: the lender, the title company, real estate agents taxing authorities, insurance companies, HOAs, or attorneys. For transparency, it can be helpful to also mention or refer to closing costs when educating your clients' audiences about budgeting. A real estate transaction costs more than the price of the home.",Professional Services,,
Days on market (DOM),"This phrase refers to the the number of days from the date when the property is listed on the MLS to to the date when the seller has signed a contract with the buyer for the sale of the property. Typically, this number is lower in the spring than the winter, since homes tend to sell faster in the warmer months. ",Professional Services,,
Fixer-upper,"In real estate vernacular, a fixer-upper is a property that will require repair, though it usually can be lived in or used as it is. They are popular with buyers who wish to raise the property's potential value to get a return on their investment (I.e. ""flip the house"") , or as a starter home for buyers on a budget. ",Professional Services,,
Interest rates,"We know that interest rates are the lowest they've been in a while, but how does a lender calculate what an interest rate might look like for an individual buyer? Here are some factors they might consider when making that decision: Credit score -- if a buyer's credit score is higher, their interest rate will likely be lower. Down payment -- if a client puts less than 20% down on a property purchase, the lender might require mortgage insurance, which requires a slightly higher interest rate. Loan term -- in general, shorter-term loans have lower interest rates and lower overall costs, but higher monthly payments. Interest rate type -- fixed interest rates are locked in, but adjustable rates fluctuate based on the market after an initial period. This means clients might qualify for a lower rate early on, but the rate could gradually increase. This topic is an educational content minefield. Feel free to pick and choose different aspects to draw attention to, and to teach your clients' audiences how they could potentially qualify for lower interest rates.",Professional Services,,https://www.instagram.com/p/CPBqyUVhzUs/
Open shelving,"Open shelving refers to shelves that are not encased and have a bookcase-type design. They are a great way to show off pretty kitchenware, momentos, and decor. They also may help make small rooms, like kitchens, seem bigger. Use a beautiful stock image to highlight and share this trendy design tip. ",Professional Services,,https://www.instagram.com/p/CO0fBgKhmKk/
Foreclosure ,"Foreclosure is the process of a lender seizing and selling a property to a new buyer when the owner fails to make their mortgage payments as agreed. It enables the lender to recover at least some of the mortgage balance that is left. In some states, there must be a legal process in court before the home can be taken. Other states offer options that don't require a court to get involved. They also might be priced to sell quickly because of the lender’s need to recoup their losses.",Professional Services,,https://www.thebalance.com/what-is-a-foreclosure-1798185
Sight Unseen,"Buying a house ""sight unseen"" means closing on it without ever having seen the home in person. The buyer has probably researched the surrounding neighborhood and schools and viewed the home online, but they haven't taken an in-person tour of the property. We've seen an uptick in this since the coronavirus pandemic -- social distancing concerns and low home inventory have caused buyers to consider this method and act quickly. To reduce risk and improve the virtual buying experience, experts suggest getting prequalified, taking a virtual tour of the home, doing homework on the area and property, and shopping around for the best rates. ",Professional Services,,
Down payment,This refers to the amount of money that a buyer pays toward a house immediately after closing. Most financial planners recommend a downpayment of 20%. A down payment of 20% allows the buyer to avoid paying private mortgage insurance.,Professional Services,,
Private mortgage insurance,"If a buyer qualifies for a conventional fixed-rate loan, but is unable to pay 20% down, they'll also need to pay private mortgage insurance. PMI is an additional cost, along with monthly payments, that protects the lender in case the buyer defaults on the loan. It ranges from .3% to 1.15% of the total home loan. ",Professional Services,,
Sale pending,"A pending sale means the seller has accepted and offer from a buyer, but the deal hasn't closed yet. Basically, there's still hope! The property is placed in pending status the minute a contract is completed, but there's still a chance that the home could land back on the market again (like if the buyer can't arrange for financing or the home inspection doesn't come through, etc.).",Professional Services,,
VA Loans,"The VA in VA Loan stands for ""Veterans Affairs."" They refer to specific types of loans that current and former military personnel have access to. In essence, it allows veterans to potentially qualify for homes that they may have thought were out of reach. Benefits of these loans include: no down payment, no mortgage insurance, more lenient loan requirements, and limited closing costs. ",Professional Services,,
Hardiness zone map,The U.S. hardiness zone map is the standard by which gardeners and growers can determine which plants are most likely to thrive at a given location.,Home Services,Landscaping,https://www.fs.fed.us/wildflowers/Native_Plant_Materials/Native_Gardening/hardinesszones.shtml
Home appraisal,"When you want to sell your home, an appraiser will evaluate your house to determine its total worth. The size, quality, condition, location and presence or absence of key features will determine the home's appraisal value. Renovating, making aesthetic or structural updates, and staging can cause the appraisal value to go up. Be aware that any buyer may hire their own appraiser as well to ensure they're getting a good value for their money. ",Professional Services,Real Estate,https://www.redfin.com/guides/how-to-increase-your-home-appraisal-value-now
Appreciation,"Appreciation is the increase in the market value of a home due to changing market conditions and/or home improvements. For people who own a home now, it's likely that it's appreciated significantly since they purchased it (if the home is in good condition).",Professional Services,Real Estate,
Comparables,"This is an abbreviation for ""comparable properties,"" and it refers to similar properties that are used and comparison when evaluating the potential value of a home. ",Professional Services,Real Estate,
Fair market value,"Fair market value is the price at which property would be transferred between a willing buyer and a willing seller, each of whom have a reasonable knowledge of all pertinent facts and is not under any compulsion to buy or sell.",Professional Services,Real Estate,
Initial interest rate,"Initial interest rate is the original rate of interest for an adjustable-rate mortgage (see topics). Sometimes it's also known as the ""start rate.""",Professional Services,Real Estate,
Single-family properties,"We've all seen this term, but what does it actually mean? Technically, single-family dwellings are one-to-four-unit properties included detached homes, townhouses, condos, cooperative, and manufactured homes that are attached to a permanent foundation and are classified as real property under applicable state law. ",Professional Services,Real Estate,
Title,"The right to, and ownership of, property. A title or deed is sometimes used as proof of ownership of the land.",Professional Services,Real Estate,
Walk-through,A common clause in a sales contract that allows a buyer to examine the property being purchased at a specified time immediately before closing (usually within 24 hours).,Professional Services,Real Estate,
Maximalism,"A response to the popular trend of minimalism, maximal interior design is the next big thing. It is categorized by utilizing a combination of color, textures, and styles, and assorted items like photographs, prized collections, and eclectic furniture.",Home Services,Interior Design,
Counteroffer,"Every real estate agent should be an excellent negotiator. Usually, the buyer will make an offer on a property, and then the seller will make a counteroffer. Either one party will concede to the other, more counter offers will be made, or the deal is taken off the table/rejected outright. Striking a balance is key -- most times, the result ends up somewhere in the middle. ",Professional Services,Real Estate,
HOA,"A Homeowner's Association (HOA) is an organization in a subdivision, planned community, or building that makes and enforces the rules for the property and its residents. Those who purchase property within an HOA's jurisdiction automatically become members and are required to pay dues, known as HOA fees. Some HOAs are strict and have lots of requirements about what individual residents can do with their properties.",Professional Services,Real Estate,
Home equity,"The more mortgage a buyer pays off, the more equity they gain. Essentially, home equity is the difference between one's property value and how much they owe left on their mortgage. Conducting home improvement projects or putting more down on a home can increase equity.",Professional Services,Real Estate,
Latent defects,Latent defects are home issues that aren't discovered before a home purchase that become apparent post-closing. They're why it's important to put in due diligence when investigating a potential home and to spare no cost for a good inspection. ,Professional Services,Real Estate,
Multiple Listing Service (MLS),The MLS is where agents post and compile listing data. The MLS is where all the information on listings in an area is visible to other agents. ,Professional Services,Real Estate,
Escrow,"Escrow is a legal agreement in which a third party controls money or assets until two other parties involved in a transaction meet certain conditions. Think of escrow as a mediator that reduces risk on both sides of a transaction – in this case, the sale, purchase, and ownership of a home.",Professional Services,Real Estate,"https://www.quickenloans.com/learn/what-is-escrow-and-how-does-it-work#:~:text=Escrow%20is%20a%20legal%20agreement,and%20ownership%20of%20a%20home."
Home styles,"No matter where you look, there is sure to be a variety of homes in any given neighborhood. Each style has a different style and history.",Professional Services,Real Estate,https://www.rocketmortgage.com/learn/types-of-houses
AMA,"Many listings will end with the acronym ""AMA"" meaning ""All Measures Approximate.",Professional Services,Real Estate,
REO,"Stands for Real Estate Owned, meaning that the property is owned by a bank, likely as a result of foreclosure.",Professional Services,Real Estate,
Laminate flooring,"Laminate flooring consists of a stack of a water-resistant base layer, that is then topped with high-density fiberboard. It's environmentally friendly because it makes use of wood waste. On top of that, there's a photographic print that mimics the desired look -- wood, stone, or tile. It's slicked with resin to preserve it and add shine, too. It's available in different textures to provide traction or a more natural-looking finish.Oftentimes, it's the most affordable option.",Home Services,Genearl contractor,
Luxury vinyl flooring,"Luxury vinyl is entirely synthetic, consisting of multiple layers of  PVC. It has a tough urethane topcoat that acts as a wear layer. Vinyl is suitable for snap-and-click, peel-and-stick, glue-down and floating installations. It's available in a variety of textures and can mimic any material, including wood and stone. ",Home Services,General contractor,
Marble,"Marble is a metamorphic rock. It started life as limestone and, under extreme heat and pressure, metamorphosed into marble. The primary component is calcium carbonate, which makes it comparatively soft. Marble’s characteristic veining comes from other minerals captured during the metamorphic process.Common types of marble used in renovations include: Carrara, Calacatta, Emperador, and Crema Marfil.
",Home Services,Stone & tile,https://www.homeadvisor.com/r/marble-vs-granite/
Granite,"Granite is an igneous rock. It formed from slowly cooling magma millions of years ago. During the cooling process, mineral crystals developed, which is what gives granite its distinctive appearance. Quartz and feldspar are the dominant minerals in granite, along with mica, potassium and amphiboles, among others.It comes in colors like: white, beige, green, blue. brown, red, and black.",Home Services,Stone & tile,https://www.homeadvisor.com/r/marble-vs-granite/
Accrued expenses,Expenses seller owes on the day of closing but for which the buyer will take responsibil­ity (such as property taxes).,Professional Services,Real Estate,
Apportionment,The division of expenses between buyer and seller.,Professional Services,Real Estate,
Reciprocity,"Mutual agreement by certain states to extend licensing privileges to licensees in each state.It's important to know if your Realtor clients work in multiple states, and if the licensing process for each was similar or different.",Professional Services,Real Estate,
Graduated lease,One in which the rent changed from period to period over the lease term in stair-step fashion. Used for new business tenant whose income increases over time.,Professional Services,Real Estate,
Wraparound mortgage,A junior mortgage in an amount exceeding a first mortgage against the property.,Professional Services,Real Estate,
Brokerage,The business of bringing buyers and sell­ers together and assisting in negotiations for the terms of sale of real estate.,Professional Services,Real Estate,
Subcontractors,"If a contractor needs additional labor or doesn't have the expertise on hand for a certain aspect of a project, the contractor hires a subcontractor to take on a job.",Home Services,Contractors ,
1031 Exchange,A 1031 exchange is a common tax strategy that can help real estate investors expand their portfolios and up their net worth. The 1031 exchange allows for the seller of an investment property to defer paying capital gains by using the proceeds from that property to buy a replacement investment property.The main benefit is that an investor would not have to pay taxes on the capital gains—aka appreciation—on their home.,Professional Services,Real Estate,https://www.realtor.com/advice/finance/what-is-a-1031-exchange-real-estate-investors-can-put-off-paying-capital-gains/
Conventional Sale,"A conventional sale is when the property is owned outright (has no mortgage remaining) or the owner owes less on their mortgage than what the market indicates the owner could sell their property for. Such conventional sales are often smoother transactions than non-conventional sales, such as foreclosures, probate related sales and short sales.",Professional Services,Real Estate,
Snow removal,"Snow removal is a popular service offered by many landscape companies. They use different methods and tools, including de-icing, snow blowing, shoveling, etc. In many parts of the US, snow removal is a frequent fall/winter need.",Home Services,Landscaping,
Due Diligence Period,"After an offer is accepted, the due diligence period begins. During this time, the home for sale is thoroughly looked over. In order to make sure they're getting the most out of their home, a buyer would want to bring in a good inspector in order to identify any small or hidden flaws that might allow for compensation from the seller. Also, a buyer can back out of the deal during this period for any reason. ",Professional Services,Real Estate,
Refinance ,"This is the process where a buyer or owner can get a new loan from the lender with better terms, like a lower interest rate or a lower monthly payment. When home values rise (like now!), owners can pull out equity (cash)< known as a cash out refinance.",Professional Services,Real Estate,
Earnest Money,"The ""earnest money"" is the sum of money that's submitted with an offer as an add-on to prove that the buyer is serious about the purchase. ",Professional Services,Real Estate,
Color theory ,"Color theory involves the study of hues and how to use them in harmony. It’s helpful in design because it informs a palette that work well together. These choices play a key role in the overall environment of a home because color can influence moods, feelings and even increase how much sleep you get. You can design your home by selecting furnishings and fabrics in hues that suit your personality, too.",Home Services,"Interior Design, Construction, Remodeling",https://www.homeadvisor.com/r/color-theory-in-interior-design/
Lien,"Essentially, a lien is a legal notice attached to a property title as a result of an unpaid debt. It gives the unpaid party a legal claim to a portion of your property when it's sold, and it prevents you from selling or refinancing your property until it's cleared. Liens fall into three primary categories: 1) Mechanical/contractor liens: Mechanical liens result when homeowners hire contractors to perform home improvement projects, but fail to pay them for their services and materials. 2) Tax liens: Tax liens are filed due to unpaid taxes, including local property tax liens and those filed by the IRS for missed federal tax payments. 3)Judgment liens: Judgment liens result from court cases in which it was ruled that you owe money to the other party. They can include settlements related to child support, unpaid credit card debt, and medical bills.",Professional Services,Real Estate,https://www.realtor.com/advice/finance/how-are-liens-handled-when-a-home-is-sold/
Abstract,"An abbreviation of the cardinal aspects of all recorded deeds, mortgages, leases and other instruments affecting the title to a particular piece of land.",Professional Services,Real Estate,
Claim,"A right to assert, or the assertion of, a demand for payment of money due; or the surrender or delivery of possession of property or the recognition or some right. A demand for something as one’s rightful due.",Professional Services,Real Estate,
Eminent domain,The right of a government to take privately owned property for public purposes under condemnation proceedings upon payment of its reasonable value.,Professional Services,Real Estate,
Estate,"(1) A sizable piece of rural land usually with a large house and other pretentious improvements. (2) The whole of one’s possessions, especially all of the property, assets, debts, and liabilities left by a deceased or bankrupt person. (3) The nature and extent of an owner’s rights in real estate.",Professional Services,Real Estate,
Felt paper,Felt paper is a sheet of material that is installed on a roof under the shingles. It serves as a backup waterproof measure in case of leaks.,Home Services,"Roofing, Construction ",
Addendum,"If a buyer or seller want to change an existing contract, they might add an addendum outlining the specific part of the contract they’d like to adjust and the parameters of that change. The rest of the contract stays the same, regardless of the addendum.",Professional Services,Real Estate,
Appreciation,"Appreciation is the amount a home increases in value over time. To calculate a home’s likely appreciation rate, add one to the annual appreciation rate, raise this to a power equal to the number of years you’d like to estimate, then multiply that by the current value of the property.",Professional Services,Real Estate,
Default,"If a homeowner defaults on their loan, it means they have not paid the sum they agreed to. Typically, a mortgage default means the homeowner hasn’t made a home loan payment in 90 days or more.",Professional Services,Real Estate,
Carpet tiles,"Unlike wall-to-wall carpeting, the carpet tiles are sections of carpet squares used for their ultra durability. Carpet tiles are diverse being available in different solid colors, patterned, or texture. They're designed for convenience and are removable for spot cleaning, repairs, or replacement.",Home Services,"Carpeting, contractor, handyman",
OSHA,"Occupational Safety and Health Administration.Their mission is to ""assure safe and healthy working conditions for working men and women by setting and enforcing standards and by providing training, outreach, education and assistance.""",,,
